#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
-2.853 -9.577 -0.823 10
-2.873 -9.443 -0.842 0
-2.873 -9.443 -0.842 10
-3.007 -9.577 -0.861 10
-3.256 -9.807 -0.976 0
-3.256 -9.807 -0.976 10
-3.16 -9.749 -0.957 1
-3.16 -9.749 -0.957 10
-2.719 -9.328 -0.823 9
-2.317 -9.04 -0.67 1
-2.317 -9.04 -0.67 10
-2.126 -8.983 -0.593 9
-2.106 -9.098 -0.555 10
-2.279 -9.366 -0.689 1
-2.279 -9.366 -0.689 10
-2.528 -9.692 -0.747 0
-2.528 -9.692 -0.747 10
-2.681 -9.826 -0.823 9
-3.007 -9.998 -1.015 1
-3.007 -9.998 -1.015 10
-3.198 -9.921 -1.206 0
-3.198 -9.921 -1.206 10
-3.198 -9.711 -1.264 9
-3.122 -9.443 -1.321 0
-3.122 -9.443 -1.321 10
-2.892 -9.308 -1.245 1
-2.892 -9.308 -1.245 10
-2.528 -9.155 -1.072 9
-1.896 -9.098 -0.938 1
-1.896 -9.098 -0.938 10
-1.57 -9.155 -0.919 0
-1.57 -9.155 -0.919 10
-1.532 -9.404 -0.881 9
-1.608 -9.596 -0.842 0
-1.608 -9.596 -0.842 10
-1.781 -9.826 -0.727 1
-1.781 -9.826 -0.727 10
-1.819 -9.826 -0.612 9
-1.819 -9.787 -0.555 10
-2.049 -9.826 -0.651 1
-2.049 -9.826 -0.651 10
-2.221 -9.864 -0.727 0
-2.221 -9.864 -0.727 10
-2.336 -9.787 -0.747 10
-2.375 -9.711 -0.747 0
-2.375 -9.711 -0.747 10
-2.451 -9.519 -0.823 9
